id,location,city,distinct,province_id,people,GDPTotal,GDPPerson
632600,果洛藏族自治州,1,0,630000,20.84,41.45,19889.64
632700,玉树藏族自治州,1,0,630000,41.31,53.61,12979
632800,海西蒙古族藏族自治州,1,0,630000,51.86,625.27,120568.84
640100,银川市,1,0,640000,222.54,1901.48,85444.41
640200,石嘴山市,1,0,640000,80.3,605.92,75457.04
640300,吴忠市,1,0,640000,140.38,534.53,38077.36
640400,固原市,1,0,640000,122.82,303.19,24685.72
640500,中卫市,1,0,640000,115.75,402.99,34815.55
650100,乌鲁木齐市,1,0,650000,350.4,3099.77,88463.76
650200,克拉玛依市,1,0,650000,44.28,818.1,184756.1
650400,吐鲁番市,1,0,650000,67.87,310.59,45762.49
652200,哈密地区,1,0,650000,62.06,536.61,86466.32
652300,昌吉回族自治州,1,0,650000,160.35,1367.3,85269.72
652700,博尔塔拉蒙古自治州,1,0,650000,47.54,347.5,73096.34
652800,巴音郭楞蒙古自治州,1,0,650000,127.93,1027.5,80317.36
652900,阿克苏地区,1,0,650000,256.4,1027.4,40070.2
653000,克孜勒苏柯尔克孜自治州,1,0,650000,62.06,128.89,20768.61
653100,喀什地区,1,0,650000,451.47,890.12,19716.04
653200,和田地区,1,0,650000,201.44,305.57,15169.28
654000,伊犁哈萨克自治州,1,0,650000,248.28,939.9,37856.45
654200,塔城地区,1,0,650000,121.92,632.27,51859.42
654300,阿勒泰地区,1,0,650000,60.33,259.21,42965.36
710000,台湾省,1,0,710000,2358.01,39001.04,165398.11
810000,香港特别行政区,1,0,810000,748,24000.98,320868.72
820000,澳门特别行政区,1,0,820000,61.91,3609,582932.49
419001,济源市,0,1,410000,73,641.84,87761
429004,仙桃市,0,1,420000,114,800.13,70186.84
429005,潜江市,0,1,420000,96.6,755.78,78238.1
429006,天门市,0,1,420000,127.23,591.15,46463.1
429021,神农架林区,0,1,420000,7.67,28.59,37275.1
469001,五指山市,0,1,460000,10.71,29.05,27125.02
469002,琼海市,0,1,460000,51.57,264.98,51382.59
469005,文昌市,0,1,460000,56.89,231.14,40629.13
469006,万宁市,0,1,460000,57.86,224.33,38771.17
469007,东方市,0,1,460000,42.97,177.91,41402.65
469021,定安县,0,1,460000,29.76,98.51,33101.38
469022,屯昌县,0,1,460000,26.85,77.4,28826.03
469023,澄迈县,0,1,460000,49.44,299.55,60588.83
469024,临高县,0,1,460000,45.1,180.42,40003.37
469025,白沙黎族自治县,0,1,460000,17.34,50.22,28960.27
469026,昌江黎族自治县,0,1,460000,23.35,125.41,53708.95
469027,乐东黎族自治县,0,1,460000,48.27,126.97,26305.01
469028,陵水黎族自治县,0,1,460000,33.39,159.16,47666.1
469029,保亭黎族苗族自治县,0,1,460000,15.28,486.33,318275.52
469030,琼中黎族苗族自治县,0,1,460000,18.02,49.49,27466.65
659001,石河子市,0,1,650000,41,537.8,131170.73
659002,阿拉尔市,0,1,650000,35.8,308.55,86187.15
659003,图木舒克市,0,1,650000,22.16,128.83,58136.28
659004,五家渠市,0,1,650000,12.56,292,232484.08
659005,北屯市,0,1,650000,10.12,79.23,78290.51
659006,铁门关市,0,1,650000,19.46,62.1,31911.61
659007,双河市,0,1,650000,13,63.34,48723.08
659008,可克达拉市,0,1,650000,22.8,191,83771.93
