province_id,province_name,city_id,city_name,city_confirmedNum,city_deathsNum,city_curesNum
440000,广东省,440200,韶关市,10,1,9
440000,广东省,440300,深圳市,458,3,424
440000,广东省,440400,珠海市,103,1,99
440000,广东省,440500,汕头市,26,0,26
440000,广东省,440600,佛山市,97,0,85
440000,广东省,440700,江门市,24,0,23
440000,广东省,440800,湛江市,24,0,23
440000,广东省,440900,茂名市,14,0,14
440000,广东省,441200,肇庆市,20,1,19
440000,广东省,441300,惠州市,62,0,62
440000,广东省,441400,梅州市,17,0,16
440000,广东省,441500,汕尾市,5,0,5
440000,广东省,441600,河源市,5,0,4
440000,广东省,441700,阳江市,14,0,14
440000,广东省,441800,清远市,12,0,12
440000,广东省,441900,东莞市,100,1,99
440000,广东省,442000,中山市,68,0,68
440000,广东省,445100,潮州市,6,0,5
440000,广东省,445200,揭阳市,11,0,8
440000,广东省,445300,云浮市,0,0,0
450000,广西壮族自治区,450100,南宁市,55,0,55
450000,广西壮族自治区,450200,柳州市,24,0,24
450000,广西壮族自治区,450300,桂林市,32,0,32
450000,广西壮族自治区,450400,梧州市,5,0,5
450000,广西壮族自治区,450500,北海市,44,1,43
450000,广西壮族自治区,450600,防城港市,19,0,19
450000,广西壮族自治区,450700,钦州市,8,0,8
450000,广西壮族自治区,450800,贵港市,8,0,8
450000,广西壮族自治区,450900,玉林市,11,0,11
450000,广西壮族自治区,451000,百色市,3,0,3
450000,广西壮族自治区,451100,贺州市,4,0,4
450000,广西壮族自治区,451200,河池市,28,1,27
450000,广西壮族自治区,451300,来宾市,11,0,11
450000,广西壮族自治区,451400,崇左市,0,0,0
460000,海南省,460100,海口市,39,0,39
460000,海南省,460200,三亚市,54,1,53
460000,海南省,460300,三沙市,0,0,0
460000,海南省,460400,儋州市,15,1,14
500000,重庆市,500000,重庆市,579,6,570
510000,四川省,510100,成都市,165,3,153
510000,四川省,510300,自贡市,9,0,9
510000,四川省,510400,攀枝花市,16,0,16
510000,四川省,510500,泸州市,24,0,24
510000,四川省,510600,德阳市,18,0,18
510000,四川省,510700,绵阳市,22,0,22
