id,npp
371400,1.53842
371500,1.67283
371600,1.96181
371700,1.55216
410100,5.64933
410200,1.82314
410300,1.29784
410400,1.36355
410500,1.90875
410600,2.19614
410700,1.76143
410800,2.178
410900,2.18792
411000,1.77066
411100,2.25501
411200,0.642344
411300,0.676237
411400,1.39736
411500,0.603918
411600,1.2689
411700,1.10172
419001,1.22871
420100,6.21074
420200,1.27476
420300,0.337641
420500,0.593338
420600,0.592567
420700,2.4424
420800,0.49818
420900,0.946868
421000,0.725221
421100,0.613669
421200,0.615322
421300,0.398786
422800,0.254897
429004,0.917892
429005,1.01182
429006,0.660466
429021,0.130534
430100,2.93261
430200,0.771324
430300,1.37524
430400,0.531694
430500,0.373252
430600,0.618672
430700,0.579568
430800,0.388347
430900,0.442791
431000,0.33711
431100,0.37373
431200,0.286899
431300,0.669964
433100,0.322836
440100,9.70816
440200,0.566162
440300,22.5907
440400,8.66414
440500,8.16989
440600,9.88806
440700,2.21857
440800,1.43873
440900,1.18101
441200,1.05164
441300,2.82776
441400,0.730463
441500,2.203
441600,0.608689
441700,1.11425
441800,0.880994
441900,18.283
442000,10.5382
445100,2.82936
445200,2.94974
445300,0.836622
450100,1.47101
450200,0.932793
450300,0.426519
450400,0.480132
450500,2.10795
450600,0.878836
450700,0.762999
450800,0.732079
450900,0.793119
451000,0.316506
451100,0.414099
451200,0.233646
451300,0.422597
451400,0.405438
460100,3.97468
460200,2.62028
460300,0.154409
460400,1.12131
469001,0.262019
469002,0.5453
469005,0.56366
469006,0.616155
469007,3.32761
469021,0.45475
469022,0.241374
469023,0.895923
469024,0.63117
469025,0.236464
469026,0.908435
469027,2.00439
469028,1.16693
469029,0.363613
469030,0.14457
500000,0.972061
510100,4.97912
510300,1.25611
510400,0.521826
510500,0.692099
510600,1.81051
510700,0.652016
510800,0.367709
510900,1.27129
511000,1.2417
511100,0.594577
511300,1.0686
511400,1.11172
511500,0.726225
511600,1.06533
511700,0.533713
511800,0.217908
511900,0.336352
512000,1.07059
513200,0.202703
513300,0.175855
513400,0.17098
520100,2.84968
520200,0.684035
520300,0.63092
520400,0.998433
520500,0.434745
520600,0.495436
522300,0.517917
522600,0.380033
522700,0.538927
530100,1.91445
530300,0.533361
530400,0.618447
530500,0.347575
530600,0.38789
530700,0.264888
530800,0.121958
530900,0.184528
532300,0.298942
532500,0.360751
532600,0.228999
532800,0.238307
532900,0.330517
533100,0.396031
533300,0.141352
533400,0.140692
540100,0.356686
540200,0.139063
540300,0.16906
540400,0.130674
542200,0.133762
542400,0.208021
542500,0.226693
610100,4.56099
610200,0.797152
610300,0.590179
610400,1.80059
610500,0.996139
610600,0.696061
610700,0.394258
610800,0.939282
610900,0.3046
611000,0.269842
620100,1.33508
620200,2.16201
620300,0.537115
620400,0.409371
620500,0.46641
620600,0.377975
620700,0.404192
620800,0.504233
620900,0.355358
621000,0.656747
621100,0.432692
621200,0.269791
622900,0.523533
623000,0.244045
630100,1.65816
630200,0.570838
632200,0.316064
632300,0.284008
632500,0.266128
632600,0.23725
632700,0.221083
632800,0.291437
640100,3.46152
640200,1.20573
640300,0.658192
640400,0.584
640500,0.553151
650100,3.18012
650200,3.37483
650400,0.372865
652200,0.36456
652300,0.767132
652700,0.660962
652800,0.333325
652900,0.678759
653000,0.375166
653100,0.427873
653200,0.32816
654000,0.82658
654200,0.577399
654300,0.481374
659001,8.27209
659002,0.6672
659003,1.20936
659004,3.26684
659005,1.9277
710000,4.72909
810000,17.8831
820000,99.0764
