date,city,cityCode,confirmed,cured,dead
2020-03-15,北京市,110000,446,358,8
2020-03-15,天津市,120000,136,133,3
2020-03-15,上海市,310000,355,324,3
2020-03-15,重庆市,500000,576,570,6
2020-03-16,北京市,110000,455,368,8
2020-03-16,天津市,120000,136,133,3
2020-03-16,上海市,310000,358,325,3
2020-03-16,重庆市,500000,576,570,6
2020-03-17,北京市,110000,458,373,8
2020-03-17,天津市,120000,136,133,3
2020-03-17,上海市,310000,361,325,3
2020-03-17,重庆市,500000,576,570,6
2020-03-18,北京市,110000,479,379,8
2020-03-18,天津市,120000,136,133,3
2020-03-18,上海市,310000,363,326,3
2020-03-18,重庆市,500000,576,570,6
2020-03-19,北京市,110000,485,384,8
2020-03-19,天津市,120000,137,133,3
2020-03-19,上海市,310000,371,326,3
2020-03-19,重庆市,500000,576,570,6
2020-03-20,北京市,110000,499,392,8
2020-03-20,天津市,120000,137,133,3
2020-03-20,上海市,310000,380,326,3
2020-03-20,重庆市,500000,576,570,6
2020-03-21,北京市,110000,512,398,8
2020-03-21,天津市,120000,137,133,3
2020-03-21,上海市,310000,394,327,4
2020-03-21,重庆市,500000,576,570,6
2020-03-22,北京市,110000,522,400,8
2020-03-22,天津市,120000,137,133,3
2020-03-22,上海市,310000,404,328,4
2020-03-22,重庆市,500000,577,570,6
2020-03-23,北京市,110000,554,401,8
2020-03-23,天津市,120000,141,133,3
2020-03-23,上海市,310000,414,329,4
2020-03-23,重庆市,500000,578,570,6
2020-03-24,北京市,110000,559,401,8
2020-03-24,天津市,120000,145,133,3
2020-03-24,上海市,310000,433,330,5
2020-03-24,重庆市,500000,578,570,6
2020-03-25,北京市,110000,565,403,8
2020-03-25,天津市,120000,147,133,3
2020-03-25,上海市,310000,451,330,5
2020-03-25,重庆市,500000,578,570,6
2020-03-26,北京市,110000,569,406,8
2020-03-26,天津市,120000,152,133,3
2020-03-26,上海市,310000,468,331,5
2020-03-26,重庆市,500000,578,570,6
2020-03-27,北京市,110000,572,409,8
2020-03-27,天津市,120000,156,133,3
2020-03-27,上海市,310000,485,334,5
2020-03-27,重庆市,500000,578,570,6
2020-03-28,北京市,110000,576,411,8
2020-03-28,天津市,120000,163,133,3
2020-03-28,上海市,310000,492,334,5
2020-03-28,重庆市,500000,579,570,6
2020-03-29,北京市,110000,577,412,8
2020-03-29,天津市,120000,166,133,3
2020-03-29,上海市,310000,498,334,5
2020-03-29,重庆市,500000,579,570,6
2020-03-30,北京市,110000,580,416,8
2020-03-30,天津市,120000,174,133,3
2020-03-30,上海市,310000,509,338,5
2020-03-30,重庆市,500000,579,570,6
2020-03-31,北京市,110000,580,418,8
2020-03-31,天津市,120000,174,135,3
2020-03-31,上海市,310000,516,341,6
2020-03-31,重庆市,500000,579,570,6
2020-04-01,北京市,110000,582,424,8
2020-04-01,天津市,120000,176,135,3
2020-04-01,上海市,310000,522,343,6
2020-04-01,重庆市,500000,579,570,6
2020-04-02,北京市,110000,583,434,8
2020-04-02,天津市,120000,177,140,3
2020-04-02,上海市,310000,526,343,6
2020-04-02,重庆市,500000,579,570,6
2020-04-03,北京市,110000,585,438,8
2020-04-03,天津市,120000,180,140,3
2020-04-03,上海市,310000,529,348,6
2020-04-03,重庆市,500000,579,570,6
2020-04-04,北京市,110000,586,441,8
2020-04-04,天津市,120000,180,144,3
2020-04-04,上海市,310000,531,356,6
2020-04-04,重庆市,500000,579,570,6
2020-04-05,北京市,110000,587,443,8
2020-04-05,天津市,120000,180,144,3
2020-04-05,上海市,310000,536,383,6
2020-04-05,重庆市,500000,579,570,6
2020-04-06,北京市,110000,587,448,8
2020-04-06,天津市,120000,180,151,3
2020-04-06,上海市,310000,538,389,6
2020-04-06,重庆市,500000,579,570,6
2020-04-07,北京市,110000,588,455,8
2020-04-07,天津市,120000,180,152,3
2020-04-07,上海市,310000,543,406,7
2020-04-07,重庆市,500000,579,570,6
2020-04-08,北京市,110000,588,464,8
2020-04-08,天津市,120000,181,152,3
2020-04-08,上海市,310000,552,417,7
2020-04-08,重庆市,500000,579,570,6
2020-04-09,北京市,110000,588,469,8
2020-04-09,天津市,120000,182,154,3
2020-04-09,上海市,310000,555,422,7
2020-04-09,重庆市,500000,579,570,6
2020-04-10,北京市,110000,589,474,8
2020-04-10,天津市,120000,183,158,3
2020-04-10,上海市,310000,555,435,7
2020-04-10,重庆市,500000,579,570,6
2020-04-11,北京市,110000,589,479,8
2020-04-11,天津市,120000,183,161,3
2020-04-11,上海市,310000,607,438,7
2020-04-11,重庆市,500000,579,570,6
2020-04-12,北京市,110000,589,484,8
2020-04-12,天津市,120000,184,161,3
2020-04-12,上海市,310000,618,446,7
2020-04-12,重庆市,500000,579,570,6
2020-04-13,北京市,110000,589,491,8
2020-04-13,天津市,120000,184,164,3
2020-04-13,上海市,310000,618,458,7
2020-04-13,重庆市,500000,579,570,6
2020-04-14,北京市,110000,590,495,8
2020-04-14,天津市,120000,185,168,3
2020-04-14,上海市,310000,622,468,7
2020-04-14,重庆市,500000,579,570,6
2020-04-15,北京市,110000,593,503,8
2020-04-15,天津市,120000,185,171,3
2020-04-15,上海市,310000,628,485,7
2020-04-15,重庆市,500000,579,570,6
2020-04-16,北京市,110000,593,509,8
2020-04-16,天津市,120000,186,172,3
2020-04-16,上海市,310000,628,489,7
2020-04-16,重庆市,500000,579,570,6
2020-04-17,北京市,110000,593,509,8
2020-04-17,天津市,120000,189,173,3
2020-04-17,上海市,310000,628,512,7
2020-04-17,重庆市,500000,579,570,6
2020-04-18,北京市,110000,593,510,8
2020-04-18,天津市,120000,189,173,3
2020-04-18,上海市,310000,635,516,7
2020-04-18,重庆市,500000,579,570,6
2020-04-19,北京市,110000,593,514,8
2020-04-19,天津市,120000,189,174,3
2020-04-19,上海市,310000,638,521,7
2020-04-19,重庆市,500000,579,570,6
2020-04-20,北京市,110000,593,516,8
2020-04-20,天津市,120000,189,174,3
2020-04-20,上海市,310000,638,530,7
2020-04-20,重庆市,500000,579,570,6
2020-04-21,北京市,110000,593,518,8
2020-04-21,天津市,120000,189,176,3
2020-04-21,上海市,310000,639,530,7
2020-04-21,重庆市,500000,579,570,6
2020-04-22,北京市,110000,593,522,8
2020-04-22,天津市,120000,189,178,3
2020-04-22,上海市,310000,640,532,7
2020-04-22,重庆市,500000,579,570,6
2020-04-23,北京市,110000,593,524,8
2020-04-23,天津市,120000,189,179,3
2020-04-23,上海市,310000,641,533,7
2020-04-23,重庆市,500000,579,573,6
2020-04-24,北京市,110000,593,524,8
2020-04-24,天津市,120000,189,179,3
2020-04-24,上海市,310000,641,547,7
2020-04-24,重庆市,500000,579,573,6
2020-02-06,山南市,542200,0,0,0
2020-02-06,哈密市,652200,0,0,0
2020-02-07,山南市,542200,0,0,0
2020-02-07,哈密市,652200,0,0,0
2020-02-08,山南市,542200,0,0,0
2020-02-08,哈密市,652200,0,0,0
2020-02-09,山南市,542200,0,0,0
2020-02-09,哈密市,652200,0,0,0
2020-02-10,山南市,542200,0,0,0
2020-02-10,哈密市,652200,0,0,0
2020-02-11,山南市,542200,0,0,0
2020-02-11,哈密市,652200,0,0,0
2020-02-12,山南市,542200,0,0,0
