city_baidu_id,name,id,20200117_travel,20200118_travel,20200119_travel,20200120_travel,20200121_travel,20200122_travel,20200123_travel,20200124_travel,20200125_travel,20200126_travel,20200127_travel,20200128_travel,20200129_travel,20200130_travel,20200131_travel,20200201_travel,20200202_travel,20200203_travel,20200204_travel,20200205_travel,20200206_travel,20200207_travel,20200208_travel,20200209_travel,20200210_travel,20200211_travel,20200212_travel,20200213_travel,20200214_travel,20200215_travel,20200216_travel,20200217_travel,20200218_travel,20200219_travel,20200220_travel,20200221_travel,20200222_travel,20200223_travel,20200224_travel,20200225_travel,20200226_travel,20200227_travel,20200228_travel,20200229_travel,20200301_travel
140100,太原市,140100,5.482,4.7664,5.1248,5.0377,4.7085,4.2156,3.4774,2.7224,2.2301,2.1791,1.6378,1.501,1.4885,1.496,1.5303,1.49,1.4937,1.7721,1.629,1.5411,1.4796,1.5304,1.3369,1.2979,1.7509,1.622,1.6129,1.6443,1.6386,1.2817,1.2612,1.8428,1.8203,1.8724,1.9011,1.9216,1.5448,1.5237,2.1855,2.2533,2.3077,2.2045,2.4003,2.0233,2.0253
140200,大同市,140200,5.262,4.8281,5.1778,5.3955,5.351,5.3135,5.0125,4.5835,3.6843,4.0315,3.5843,3.1673,2.8763,3.0003,2.8314,2.7681,2.5429,2.8354,2.7094,2.6967,2.6485,2.7811,2.9028,2.6319,3.0811,2.951,2.9655,3.0215,2.8653,2.455,2.4391,2.8955,2.9007,2.938,2.9241,2.9279,2.763,2.8436,3.3925,3.3131,3.3418,3.2454,3.4966,3.4738,3.4711
140300,阳泉市,140300,5.3677,4.8711,5.2026,5.3261,5.213,5.1251,4.7575,4.183,3.5137,3.541,2.5839,2.383,2.3872,2.4769,2.558,2.5346,2.5105,2.5043,2.2791,2.1214,2.0895,2.1492,2.0239,2.036,2.4494,2.4243,2.4571,2.5603,2.5348,2.3062,2.3132,2.7786,2.8235,2.8914,2.8939,2.9896,2.816,2.8632,3.3457,3.4353,3.4152,3.131,3.7018,3.6149,3.6524
140400,长治市,140400,5.24,4.8753,5.1762,5.3661,5.2655,5.1615,4.8714,4.0119,3.4935,2.9066,2.5231,2.3873,2.3824,2.4307,2.3595,2.2721,2.2922,2.5002,2.3948,2.306,2.1769,2.3912,2.3228,2.377,2.5124,2.4158,2.4117,2.4305,2.3707,2.1596,2.1916,2.5798,2.6175,2.667,2.6435,2.7525,2.7454,2.8876,3.1647,3.3316,3.1997,2.9249,3.1604,3.441,3.4925
140500,晋城市,140500,5.8956,5.408,5.7158,5.846,5.6295,5.5204,5.1017,3.8925,3.6387,3.0697,2.4432,2.4628,2.3522,2.3838,2.3232,1.8646,1.6658,1.4746,1.3104,1.297,1.2308,1.4331,1.4241,1.5726,1.9377,1.8057,1.8077,1.8434,1.8308,1.6114,1.6061,1.9345,1.9182,1.9365,1.9736,1.9937,1.8258,1.8733,2.3394,2.4527,2.4243,2.2833,2.441,2.5263,2.8281
140600,朔州市,140600,5.2571,5.1528,5.4428,5.5075,5.4791,5.4851,5.1306,4.3488,3.1166,3.7222,3.5673,3.0468,2.8922,3.1899,3.1186,3.0604,2.874,3.1652,2.9982,2.8325,2.721,2.7196,2.7427,2.4174,2.7147,2.5662,2.5863,2.6399,2.6274,2.4024,2.4586,2.7657,2.7701,2.8337,2.8176,2.8501,2.9451,3.1596,3.4753,3.485,3.5233,3.3377,3.6997,3.7748,3.8639
140700,晋中市,140700,4.8674,4.5827,4.6955,4.7953,4.6679,4.612,4.3198,3.7244,3.1931,2.6941,2.2706,1.9798,1.8761,1.9357,1.9529,1.9181,1.936,2.097,2.0204,1.9481,1.931,2.0669,2.0066,2.0433,2.279,2.228,2.1957,2.1969,2.0991,1.8958,1.9359,2.2619,2.2741,2.309,2.2953,2.3418,2.2633,2.3269,2.5812,2.778,2.7938,2.5793,2.9284,2.9535,3.0355
140800,运城市,140800,5.5451,5.3688,5.7012,5.8811,5.8163,5.8257,5.5263,4.3365,3.6555,2.5623,2.3792,2.3178,2.3313,2.2716,2.1486,2.0872,2.0998,2.2812,2.1541,1.9397,1.7355,1.7779,1.6192,1.6996,1.7781,1.7474,1.7716,1.8575,1.7545,1.7444,1.8844,2.2453,2.5028,2.7363,2.7201,3.0183,3.136,3.3095,3.514,3.7071,3.5991,3.0669,3.5085,3.6491,3.924
140900,忻州市,140900,4.8478,4.6725,4.8598,5.0032,5.0045,5.0482,4.6841,3.8182,2.772,3.5248,2.9874,2.7769,2.659,2.9646,2.7945,2.4658,2.0116,2.1074,1.9133,1.8681,1.8372,1.9775,2.0,2.0967,2.3651,2.3691,2.4048,2.4672,2.3943,2.1417,2.2885,2.5698,2.5975,2.6867,2.6649,2.6994,2.8633,3.022,3.2267,3.2334,3.2546,2.9436,3.3555,3.4704,3.5608
141000,临汾市,141000,5.5712,5.2985,5.5276,5.6948,5.6549,5.5883,5.1981,3.9732,3.8245,2.9861,2.5942,2.3844,2.448,2.6112,2.6279,2.5613,2.575,2.7604,2.6753,2.5454,2.4455,2.5873,2.4216,2.4578,2.6173,2.5323,2.5552,2.6237,2.5118,2.3431,2.4091,2.7474,2.8075,2.8957,2.839,3.0964,3.2124,3.3635,3.6198,3.7749,3.6916,3.2349,3.5814,3.7379,4.0792
141100,吕梁市,141100,5.2019,5.094,5.164,5.3395,5.2797,5.2739,5.0126,4.3036,3.6297,4.0203,3.0759,2.6957,2.4945,2.6765,2.5095,2.3583,2.25,2.4994,2.4515,2.3659,2.2416,2.4015,2.3879,2.5477,2.6051,2.5115,2.4742,2.453,2.3988,2.2498,2.3113,2.5558,2.6161,2.7202,2.7612,2.9497,3.0865,3.1914,3.0917,3.2696,3.2808,2.9158,3.3602,3.5735,3.6404
150100,呼和浩特市,150100,6.0678,5.2318,5.6309,5.6593,5.3931,5.0675,4.4915,3.9654,3.3497,3.2595,2.7766,2.3214,2.0146,1.9946,1.9585,1.9365,1.8596,2.0448,1.8844,1.8109,1.771,1.7832,1.7092,1.7123,2.0665,2.0001,1.9841,1.9728,1.9319,1.6341,1.625,2.1289,2.1334,2.1577,2.1279,2.1924,1.8452,1.9118,2.7634,2.9208,3.1021,3.1422,3.2953,2.9451,2.9878
150200,包头市,150200,6.3371,5.6572,5.9663,6.0258,5.8782,5.6741,5.1856,5.0965,4.6692,4.5511,3.5405,3.1277,2.9394,2.662,2.7244,2.6004,2.5027,2.8274,2.6962,2.6012,2.5054,2.5251,2.5902,2.3592,2.8886,2.7813,2.7642,2.7701,2.6911,2.3036,2.3073,2.9626,2.9683,3.0119,3.0219,3.1338,2.7504,2.8578,3.7923,3.8005,3.8937,3.9955,4.1587,3.8144,3.8892
150300,乌海市,150300,5.9698,5.3509,5.6807,5.6591,5.4622,5.2159,4.8548,4.8407,4.5041,4.1535,3.5583,3.3243,3.2781,3.1755,3.1319,2.7645,2.4037,2.4744,2.3785,2.3538,2.3583,2.358,2.3364,2.2108,2.5982,2.5935,2.6571,2.6482,2.6869,2.4139,2.3963,2.9565,2.9957,3.0401,3.1395,3.264,2.995,3.1578,3.9767,3.9544,3.9726,4.1344,4.3207,4.1366,4.2084
150400,赤峰市,150400,5.7399,5.5521,5.7535,5.9418,5.904,5.8226,5.2643,4.0927,3.9617,4.3298,3.7314,3.2434,2.9824,3.0661,2.7589,2.6382,2.2784,2.4306,2.3732,2.3151,2.2678,2.3065,2.2476,2.2808,2.3264,2.2814,2.2785,2.2601,1.8307,1.7317,1.8528,2.1323,2.2165,2.2848,2.3013,2.3376,2.4703,2.9652,3.7361,3.5922,3.7573,3.7936,3.8921,3.3772,3.5307
150500,通辽市,150500,5.7156,5.4935,5.7072,5.8937,5.8725,5.8288,5.4349,4.1552,4.5574,5.2393,4.4605,3.7159,3.2884,3.1833,2.9728,2.8511,2.7199,2.8047,2.6376,2.544,2.518,2.543,2.4962,2.1605,2.329,2.323,2.3887,2.3509,2.2401,2.2334,2.2396,2.5305,2.595,2.6101,2.6197,2.6786,2.5683,2.6883,3.3761,3.4669,3.6961,3.8102,3.8748,3.8568,3.8399
150600,鄂尔多斯市,150600,6.2082,5.5244,5.8863,5.8681,5.6256,5.3981,4.8949,4.4486,4.0849,3.704,3.3676,3.1627,2.8391,2.908,2.9739,2.7398,2.6248,2.6925,2.5081,2.4305,2.4122,2.4676,2.535,2.5138,2.8301,2.8074,2.8049,2.7908,2.7472,2.4768,2.5642,2.9845,2.9937,3.0434,3.0511,3.2085,2.9378,3.1309,3.955,4.049,4.2197,4.2625,4.5707,4.199,4.3254
150700,呼伦贝尔市,150700,5.4938,5.0255,5.2739,5.3818,5.2681,5.2135,4.8616,4.4698,4.1815,4.092,3.7483,3.3574,3.2708,3.0747,2.9721,2.9467,2.8769,2.9488,2.7273,2.5629,2.3901,2.3091,2.406,2.2029,2.3753,2.3499,2.3478,2.3039,2.4026,2.231,2.1962,2.4764,2.4605,2.4887,2.5399,2.5318,2.3349,2.3511,3.0951,3.0335,3.1096,3.1674,3.0714,2.9868,3.0174
150800,巴彦淖尔市,150800,6.2273,5.7768,6.0448,6.2789,6.2651,6.338,6.1927,5.8206,5.8736,5.5783,4.6812,3.8435,3.2757,3.0568,2.9749,2.6573,2.4375,2.4888,2.4106,2.351,2.2592,2.2012,2.1379,2.1389,2.2456,2.1704,2.1692,2.1203,2.1195,2.0485,2.0692,2.3023,2.3325,2.4282,2.4239,2.5535,2.4862,2.7787,3.5857,3.9008,3.9416,4.1451,4.2718,4.0271,4.1607
