id,name,city_baidu_id,420100_moveIn_mean,420100_moveIn_mean_before,420100_moveIn_mean_after,420100_moveIn_max,420100_moveIn_max_before,420100_moveIn_max_after,420100_moveIn_min,420100_moveIn_min_before,420100_moveIn_min_after
230700,伊春市,230700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230800,佳木斯市,230800,0.00018858240000000002,0.0,0.00023572800000000002,0.008486208,0.0,0.008486208,0.0,0.0,0.0
230900,七台河市,230900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231000,牡丹江市,231000,0.0002672784,0.0,0.00033409799999999996,0.009590724,0.0,0.009590724,0.0,0.0,0.0
231100,黑河市,231100,0.00029752559999999997,0.0,0.000371907,0.007848899999999999,0.0,0.007848899999999999,0.0,0.0,0.0
231200,绥化市,231200,0.00011629440000000001,0.0,0.000145368,0.005233248,0.0,0.005233248,0.0,0.0,0.0
232700,大兴安岭地区,232700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310000,上海市,310000,0.7329637727999999,3.4179053399999995,0.061728380999999985,5.15426976,5.15426976,0.337139172,0.014850864,0.635373396,0.014850864
320100,南京市,320100,0.31530729599999996,1.4245534800000001,0.037995750000000016,2.159689392,2.159689392,0.12907188,0.005439312,0.19450206,0.005439312
320200,无锡市,320200,0.06578082720000002,0.295155648,0.008437121999999998,0.925581168,0.925581168,0.059495148,0.0,0.0,0.0
320300,徐州市,320300,0.23659268400000003,1.1525619960000002,0.007600355999999999,1.7178791039999999,1.7178791039999999,0.11237972400000001,0.0,0.505705356,0.0
320400,常州市,320400,0.005617569599999999,0.0,0.007021961999999999,0.030334175999999997,0.0,0.030334175999999997,0.0,0.0,0.0
320500,苏州市,320500,0.23471687520000006,1.050488856,0.030773879999999993,1.481852556,1.481852556,0.19170658799999998,0.005176224,0.298236492,0.005176224
320600,南通市,320600,0.1833907248,0.893090736,0.005965722,1.1810418839999999,1.1810418839999999,0.039663432,0.0,0.103734432,0.0
320700,连云港市,320700,0.0016852104,0.0,0.002106513,0.013598279999999999,0.0,0.013598279999999999,0.0,0.0,0.0
320800,淮安市,320800,0.0034675272,0.0,0.004334409,0.052884576,0.0,0.052884576,0.0,0.0,0.0
320900,盐城市,320900,0.06691514399999998,0.26643553200000003,0.017035047,1.065628872,1.065628872,0.06610572,0.0,0.0,0.0
321000,扬州市,321000,0.0748549944,0.3560679,0.004551768,0.848449404,0.848449404,0.023424228,0.0,0.0,0.0
321100,镇江市,321100,0.0044471015999999995,0.0,0.005558876999999999,0.026804843999999998,0.0,0.026804843999999998,0.0,0.0,0.0
321200,泰州市,321200,0.1377958896,0.680616576,0.002090718,1.065628872,1.065628872,0.02151198,0.0,0.0,0.0
321300,宿迁市,321300,0.0006590952,0.0,0.0008238690000000001,0.007327907999999999,0.0,0.007327907999999999,0.0,0.0,0.0
330100,杭州市,330100,0.28890389520000004,1.360423332,0.021024036,2.082557628,2.082557628,0.171874872,0.0,0.3241701,0.0
330200,宁波市,330200,0.016525972800000004,0.04326264,0.009841806,0.38936376,0.38936376,0.06610572,0.0,0.0,0.0
330300,温州市,330300,0.34953521759999995,1.7096583599999997,0.009504431999999998,2.604870576,2.604870576,0.06610572,0.0,0.233402472,0.0
330400,嘉兴市,330400,0.0020295648000000005,0.0,0.0025369560000000004,0.012787632,0.0,0.012787632,0.0,0.0,0.0
330500,湖州市,330500,0.0015792264000000001,0.0,0.001974033,0.01221318,0.0,0.01221318,0.0,0.0,0.0
330600,绍兴市,330600,0.0207352728,0.078745788,0.006232644000000001,0.708712092,0.708712092,0.028647431999999997,0.0,0.0,0.0
330700,金华市,330700,0.08400588480000001,0.406471932,0.003389373,1.07367444,1.07367444,0.023683752000000002,0.0,0.0,0.0
330800,衢州市,330800,0.0014892983999999997,0.0,0.0018616229999999998,0.01263924,0.0,0.01263924,0.0,0.0,0.0
330900,舟山市,330900,0.0009899136,0.0,0.0012373920000000001,0.017694936,0.0,0.017694936,0.0,0.0,0.0
331000,台州市,331000,0.18197958240000006,0.8498910600000001,0.015001712999999996,1.1810418839999999,1.1810418839999999,0.343749744,0.0,0.24636927600000003,0.0
331100,丽水市,331100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340100,合肥市,340100,0.48010824719999984,2.250653399999999,0.037471959,3.08527056,3.08527056,0.118990296,0.00863622,0.272302884,0.00863622
340200,芜湖市,340200,0.18875037600000005,0.821514384,0.030559373999999997,1.448030844,1.448030844,0.079326864,0.0,0.0,0.006095087999999999
340300,蚌埠市,340300,0.0004333751999999999,0.0,0.000541719,0.008566236,0.0,0.008566236,0.0,0.0,0.0
340400,淮南市,340400,0.0001222848,0.0,0.00015285600000000002,0.005502816000000001,0.0,0.005502816000000001,0.0,0.0,0.0
340500,马鞍山市,340500,0.0034489152000000004,0.0,0.004311144,0.023438808,0.0,0.023438808,0.0,0.0,0.0
340600,淮北市,340600,0.0008662031999999998,0.0,0.0010827539999999998,0.027427895999999997,0.0,0.027427895999999997,0.0,0.0,0.0
340700,铜陵市,340700,0.06595948080000001,0.312490368,0.0043267589999999995,0.9472256640000001,0.9472256640000001,0.016121592,0.0,0.0,0.0
340800,安庆市,340800,0.7419309048000002,3.5981193240000002,0.027883799999999997,5.9201604,5.9201604,0.158653728,0.0,0.36307051200000007,0.0
341000,黄山市,341000,0.0004767552,0.0,0.0005959439999999999,0.010410767999999999,0.0,0.010410767999999999,0.0,0.0,0.0
341100,滁州市,341100,0.0037453248000000002,0.0,0.004681656,0.04627400400000001,0.0,0.04627400400000001,0.0,0.0,0.0
341200,阜阳市,341200,0.6000883704,2.826773856,0.043416999000000005,4.079962871999999,4.079962871999999,0.19170658799999998,0.009336384,0.531638964,0.009336384
341300,宿州市,341300,0.1631140776,0.7948469880000001,0.005180850000000001,1.1810418839999999,1.1810418839999999,0.079326864,0.0,0.142634844,0.0
341500,六安市,341500,0.29519522640000007,1.411918704,0.016014356999999996,2.254716324,2.254716324,0.055931148,0.0,0.19450206,0.0
341600,亳州市,341600,0.162555768,0.8077890600000001,0.001247445,1.162980504,1.162980504,0.011421648,0.0,0.103734432,0.0
341700,池州市,341700,0.008616708,0.0,0.010770885000000001,0.034419168,0.0,0.034419168,0.0,0.0,0.0
341800,宣城市,341800,0.0017159904000000003,0.0,0.0021449880000000004,0.01514376,0.0,0.01514376,0.0,0.0,0.0
350100,福州市,350100,0.2933567784,1.4279363999999999,0.009711873000000001,2.131257744,2.131257744,0.09254800800000001,0.0,0.207468864,0.0
350200,厦门市,350200,0.21779997839999998,1.050067908,0.009732996,1.6105116599999998,1.6105116599999998,0.06610572,0.0,0.168568452,0.0
350300,莆田市,350300,0.056871849599999996,0.280954764,0.000851121,0.9663069959999999,0.9663069959999999,0.01254528,0.0,0.0,0.0
350400,三明市,350400,0.0174402792,0.078745788,0.0021139019999999995,0.708712092,0.708712092,0.014004576,0.0,0.0,0.0
350500,泉州市,350500,0.3127299912,1.537250616,0.006599835000000001,2.0399814359999997,2.0399814359999997,0.079326864,0.0,0.155601648,0.0
350600,漳州市,350600,0.0023962176000000006,0.0,0.0029952720000000006,0.01515348,0.0,0.01515348,0.0,0.0,0.0
350700,南平市,350700,0.0005039712,0.0,0.000629964,0.007770168,0.0,0.007770168,0.0,0.0,0.0
350800,龙岩市,350800,0.00031944959999999996,0.0,0.000399312,0.009142632,0.0,0.009142632,0.0,0.0,0.0
350900,宁德市,350900,0.000127944,0.0,0.00015993000000000002,0.005757480000000001,0.0,0.005757480000000001,0.0,0.0,0.0
360100,南昌市,360100,0.7036282728,3.27854934,0.059898006,5.0124144600000005,5.0124144600000005,0.18509601600000003,0.033895584,0.38900412,0.033895584
360200,景德镇市,360200,0.0012519864,0.0,0.0015649829999999998,0.012874140000000001,0.0,0.012874140000000001,0.0,0.0,0.0
360300,萍乡市,360300,0.00011443680000000002,0.0,0.00014304600000000003,0.005149656000000001,0.0,0.005149656000000001,0.0,0.0,0.0
360400,九江市,360400,0.8113102847999999,3.765507228,0.07276104900000001,5.9201604,5.9201604,0.244591164,0.035355528,0.376037316,0.035355528
360500,新余市,360500,0.0003134016,0.0,0.000391752,0.009229464,0.0,0.009229464,0.0,0.0,0.0
360600,鹰潭市,360600,0.0001283472,0.0,0.000160434,0.005775624,0.0,0.005775624,0.0,0.0,0.0
360700,赣州市,360700,0.2441358576,1.195984836,0.0061736130000000005,1.6576449120000003,1.6576449120000003,0.06610572,0.0,0.155601648,0.0
360800,吉安市,360800,0.208102752,1.02404736,0.004116600000000001,1.5392417040000002,1.5392417040000002,0.059495148,0.0,0.12966804,0.0
360900,宜春市,360900,0.4204670040000001,2.0780393040000003,0.0060739290000000005,3.0784834080000003,3.0784834080000003,0.09915858,0.0,0.168568452,0.0
361000,抚州市,361000,0.22688257680000004,1.1092266720000001,0.006296553,1.6576449120000003,1.6576449120000003,0.06610572,0.0,0.116701236,0.0
