id,moveIn_index_mean,moveIn_index_max,moveIn_index_min,moveIn_index_mean_before,moveIn_index_max_before,moveIn_index_min_before,moveIn_index_mean_after,moveIn_index_max_after,moveIn_index_min_after,moveOut_index_mean,moveOut_index_max,moveOut_index_min,moveOut_index_mean_before,moveOut_index_max_before,moveOut_index_min_before,moveOut_index_mean_after,moveOut_index_max_after,moveOut_index_min_after,travel_index_mean,travel_index_max,travel_index_min,travel_index_mean_before,travel_index_max_before,travel_index_min_before,travel_index_mean_after,travel_index_max_after,travel_index_min_after
211200,0.3813026400000001,1.426572,0.1038744,0.9485172000000001,1.426572,0.6681852,0.23949900000000002,1.0037196,0.1038744,0.36774648000000004,0.8731476,0.1473552,0.465768,0.5351832,0.376974,0.34324109999999997,0.8731476,0.1473552,3.693406666666667,5.7005,2.5021,5.217377777777777,5.7005,4.2926,3.312413888888889,4.776,2.5021
211300,0.3209219999999999,1.2971016,0.0764316,0.8682624,1.2971016,0.4960764,0.18408689999999997,0.608958,0.0764316,0.30820823999999997,0.6672132,0.0948672,0.34616520000000006,0.4304988,0.2116044,0.29871899999999996,0.6672132,0.0948672,4.126742222222221,6.1888,2.5204,5.558677777777778,6.1888,4.083,3.768758333333333,5.2444,2.5204
211400,0.32265359999999993,1.1284272,0.0909792,0.7889795999999999,1.1284272,0.5486292,0.20607210000000004,0.687852,0.0909792,0.30345192,0.5948316,0.1034208,0.44475839999999994,0.5315868,0.3240324,0.26812530000000007,0.5948316,0.1034208,3.629371111111111,5.9529,2.0465,5.472811111111111,5.9529,3.934,3.168511111111111,4.3494,2.0465
220100,1.1121285599999997,2.7441828,0.393498,1.9139796,2.3650056,1.2271824,0.9116658000000003,2.7441828,0.393498,1.09379016,4.4574948,0.3403944,2.7515556,4.4574948,1.8922572,0.6793488,2.3744988,0.3403944,3.135062222222222,5.9355,1.7909,4.8795111111111105,5.9355,2.922,2.698950000000001,3.8957,1.7909
220200,0.39419208,1.3310892,0.1269432,0.9437184000000001,1.3310892,0.6885648,0.25681050000000016,0.9362952,0.1269432,0.3834619199999999,0.9139392,0.169614,0.6215004,0.7405344,0.4879116,0.32395229999999997,0.9139392,0.169614,3.4940911111111106,5.6054,2.2751,5.098444444444445,5.6054,3.7762,3.093002777777778,4.1133,2.2751
220300,0.46707480000000007,1.7179128,0.1302804,1.1311956,1.7179128,0.8586648,0.3010446,1.222128,0.1302804,0.4538411999999998,1.137078,0.1763532,0.6449075999999999,0.752652,0.545292,0.40607459999999995,1.137078,0.1763532,3.1636533333333343,5.4071,1.913,4.923377777777778,5.4071,3.8743,2.7237222222222224,4.5317,1.913
220400,0.13407264000000002,0.452142,0.0397872,0.3217176,0.452142,0.2475684,0.0871614,0.3503412,0.0397872,0.13441535999999996,0.3430188,0.0582876,0.1876572,0.2245968,0.1577556,0.12110489999999999,0.3430188,0.0582876,3.4325666666666663,5.6423,2.0429,5.1713,5.6423,4.2482,2.9978833333333337,4.6109,2.0429
220500,0.19139975999999995,0.6974748,0.0406944,0.5175900000000001,0.6974748,0.3344652,0.10985220000000001,0.4771224,0.0406944,0.19159632000000001,0.4875552,0.0566028,0.2928564,0.3427596,0.2125116,0.1662813,0.4875552,0.0566028,3.0213222222222225,5.3376,1.6387,4.832688888888889,5.3376,3.5817,2.568480555555555,4.0482,1.6387
220600,0.09013608000000001,0.3762612,0.0126684,0.2648016,0.3762612,0.1568808,0.04646970000000001,0.2344788,0.0126684,0.09476352,0.250776,0.0219672,0.16210080000000002,0.1977048,0.0997596,0.0779292,0.250776,0.0219672,3.2051999999999996,5.3055,1.8043,4.889266666666666,5.3055,4.2024,2.7841833333333335,4.4056,1.8043
220700,0.33044616000000004,1.1967264,0.0979776,0.7734492,1.1967264,0.5423436,0.21969539999999999,0.7744572,0.0979776,0.3297398400000001,0.8671536,0.130086,0.44173799999999996,0.5322024,0.347166,0.3017403000000001,0.8671536,0.130086,3.893702222222222,5.8785,2.4619,5.3943,5.8785,4.1499,3.518552777777778,4.6643,2.4619
220800,0.1757628,0.644922,0.0368712,0.45899639999999997,0.644922,0.3158028,0.10495440000000002,0.4632552,0.0368712,0.18054432000000004,0.4640652,0.0665496,0.2727324,0.3164508,0.2076516,0.15749730000000003,0.4640652,0.0665496,3.4826288888888883,5.4899,2.0675,5.157333333333332,5.4899,4.3775,3.0639527777777773,4.8787,2.0675
