city_baidu_id,name,id,20200117_moveOut,20200118_moveOut,20200119_moveOut,20200120_moveOut,20200121_moveOut,20200122_moveOut,20200123_moveOut,20200124_moveOut,20200125_moveOut,20200126_moveOut,20200127_moveOut,20200128_moveOut,20200129_moveOut,20200130_moveOut,20200131_moveOut,20200201_moveOut,20200202_moveOut,20200203_moveOut,20200204_moveOut,20200205_moveOut,20200206_moveOut,20200207_moveOut,20200208_moveOut,20200209_moveOut,20200210_moveOut,20200211_moveOut,20200212_moveOut,20200213_moveOut,20200214_moveOut,20200215_moveOut,20200216_moveOut,20200217_moveOut,20200218_moveOut,20200219_moveOut,20200220_moveOut,20200221_moveOut,20200222_moveOut,20200223_moveOut,20200224_moveOut,20200225_moveOut,20200226_moveOut,20200227_moveOut,20200228_moveOut,20200229_moveOut,20200301_moveOut
451200,河池市,451200,0.6983496,0.7310412,0.689634,0.7018812,0.7804512,0.7323372,0.6532164,0.503658,0.3115584,0.6108372,0.7477272,0.78246,0.795258,0.8097084,0.6518556,0.5308416,0.5088096,0.3652776,0.2367144,0.2069712,0.2082348,0.2217456,0.225342,0.2587788,0.2129004,0.1507248,0.1498824,0.1684476,0.177066,0.18792,0.222912,0.2166588,0.2610468,0.3086748,0.3336876,0.3799872,0.4854816,0.5204412,0.5797332,0.6906384,0.7737768,0.7886808,0.7745868,0.7776972,0.7479216
451300,来宾市,451300,0.630666,0.70794,0.6490692,0.6705504,0.7346052,0.7031448,0.6288192,0.504144,0.3057912,0.6717492,0.7271856,0.7794792,0.7336656,0.7309764,0.5760072,0.4667544,0.4399596,0.3260736,0.2034072,0.1782,0.1768716,0.171396,0.1805328,0.2488644,0.224694,0.171882,0.1774548,0.2012688,0.2141964,0.214164,0.2268972,0.2427084,0.26001,0.2991492,0.3309984,0.3792744,0.4590432,0.5083236,0.5604552,0.6239592,0.6682824,0.6099948,0.6351048,0.6354288,0.6377292
451400,崇左市,451400,0.662904,0.6984144,0.5626584,0.5440932,0.6096708,0.5499252,0.4685364,0.3292164,0.2069388,0.3798576,0.5162292,0.5299992,0.5078376,0.482598,0.36855,0.3014496,0.3023568,0.2210328,0.1474524,0.111942,0.096714,0.0919512,0.09477,0.1363068,0.1316412,0.10206,0.1048464,0.1096416,0.1067256,0.1092852,0.1299888,0.1190376,0.1326132,0.1512756,0.1769688,0.2133216,0.2570616,0.331776,0.3908736,0.4921236,0.5150952,0.4531464,0.4458564,0.457812,0.4191264
460100,海口市,460100,1.9478232,2.4653808,2.3282964,2.3620896,2.91357,3.4458696,4.1812848,3.33801,1.2821976,1.20123,0.843858,0.6750864,0.5401404,0.465102,0.4176684,0.3874068,0.4564512,0.4727484,0.3964788,0.402732,0.40743,0.5019408,0.5239728,0.3109104,0.342468,0.2726136,0.2607876,0.2620836,0.2644488,0.3037176,0.2517804,0.3024864,0.2615976,0.2675268,0.2959416,0.3518964,0.454086,0.392202,0.4938408,0.4234032,0.4262544,0.4586868,0.5386824,0.7244964,0.5820012
460200,三亚市,460200,1.1526624,1.2993696,1.2029472,1.2007764,1.4321772,1.5364404,1.8013752,1.6861284,0.97524,1.1464416,0.992736,0.8264592,0.666954,0.522774,0.4333824,0.3647916,0.3296376,0.3159648,0.2590056,0.2495124,0.2498364,0.2751408,0.2710908,0.1979964,0.1998432,0.1739556,0.157626,0.143046,0.1437588,0.1494288,0.1435968,0.1455084,0.137376,0.1368576,0.1539648,0.1763532,0.2007828,0.1994544,0.2127708,0.207198,0.2056752,0.2266704,0.2441016,0.3126276,0.280908
460300,三沙市,460300,0.0064152,0.0043092,0.0039852,0.0019116,0.007614,0.0030456,0.0090396,0.0032076,0.0062532,0.0013284,0.0049248,0.0012312,0.000648,0.0006804,0.000486,0.0004212,0.0008424,0.0011016,0.0013284,0.0008424,0.0011016,0.0006804,0.0008748,0.0004212,0.0004536,0.0004536,0.0005508,0.0014256,0.0007452,0.0007128,0.0007452,0.0009396,0.0005184,0.0006156,0.0009396,0.0005832,0.0011016,0.0003888,0.0006804,0.0012312,0.002754,0.0013608,0.00081,0.0006804,0.0021384
460400,儋州市,460400,0.3227364,0.3545532,0.310554,0.3031668,0.32238,0.298728,0.2912436,0.2435508,0.1435968,0.229392,0.2172744,0.2076516,0.1933956,0.179172,0.1554552,0.1430136,0.167346,0.1407456,0.1045548,0.0963576,0.0914652,0.104814,0.1069848,0.121662,0.1137888,0.0733212,0.0674892,0.0642492,0.065934,0.0755244,0.0772092,0.0761724,0.0672948,0.0756864,0.0930204,0.1041984,0.1253232,0.1364364,0.1685448,0.1513728,0.1585656,0.1557792,0.1700676,0.2019816,0.1951452
500000,重庆市,500000,5.2702164,5.9835024,6.1874604,6.7183992,8.1833328,8.2912896,8.8136424,7.62858,4.7465352,4.8229668,4.500522,3.8085552,3.5039304,3.0939732,2.7997164,1.7825508,2.2318092,1.638792,1.1593692,1.0216368,1.2089412,1.3705524,1.4425128,1.2657384,1.1472516,0.7874172,0.8093196,0.8293752,0.8854272,0.77436,0.8893476,0.8586324,0.9928332,1.3142088,1.419768,1.3927788,2.0620008,2.2173588,2.215674,2.8408644,2.8630584,2.9201472,2.71998,3.099384,2.5867512
510100,成都市,510100,10.3263336,12.4730928,13.0410324,14.651928,19.1284092,20.8452852,22.6441008,18.7029324,9.8588016,7.3129392,5.0433516,3.5118684,2.6868672,2.3397336,1.9034676,1.6785144,1.939302,1.9028196,1.6915716,1.5612264,1.4966532,1.4487012,1.4143572,1.3168008,1.2217068,0.9529488,0.8388036,0.8345268,0.8306712,0.8166096,0.7917588,0.9552816,0.9427428,1.0060848,1.095768,1.2760092,1.5250032,1.55115,1.9424124,2.0083788,2.126088,2.1823668,2.3811408,3.002346,2.5729164
510300,自贡市,510300,0.5996268,0.6529248,0.6566508,0.6887916,0.8120736,0.8198172,0.8311572,0.74439,0.6439176,0.9250848,0.9824976,0.9166608,0.8152488,0.7638948,0.6268104,0.5528088,0.6746652,0.5492448,0.40257,0.3938868,0.41229,0.4241808,0.399654,0.3969972,0.30942,0.238464,0.2350944,0.2388852,0.2354184,0.2414448,0.2596212,0.2728404,0.2850552,0.325944,0.3395196,0.3844908,0.4439772,0.5075784,0.5560164,0.5879304,0.6237,0.6157296,0.6616728,0.6047136,0.6361092
510400,攀枝花市,510400,0.344088,0.3533544,0.3671892,0.396738,0.4961736,0.4838292,0.497016,0.4769604,0.2988576,0.3159324,0.3067956,0.3077352,0.2669436,0.236358,0.19602,0.1619352,0.165888,0.1289196,0.0796716,0.075978,0.076302,0.0780192,0.0803196,0.0769176,0.0659988,0.0558576,0.054108,0.054108,0.0551448,0.053784,0.0547236,0.062208,0.062208,0.0623052,0.0687528,0.0768204,0.0779868,0.0887112,0.0961956,0.1086696,0.1115532,0.1150524,0.1203012,0.1238652,0.128304
510500,泸州市,510500,0.9297828,1.0031364,1.0235808,1.1136852,1.2863448,1.2841092,1.284822,1.139994,1.0013868,1.2492792,1.2510288,1.1155968,0.9934164,0.877068,0.694494,0.5784696,0.696762,0.5666436,0.4363308,0.4311144,0.4582656,0.5156136,0.4635468,0.3995568,0.342468,0.27459,0.2693736,0.274104,0.2780244,0.2814912,0.3072492,0.3265596,0.389124,0.4826304,0.4908276,0.50787,0.574452,0.6233436,0.6818904,0.7902684,0.921618,0.9448812,1.0530972,0.9208728,0.9135504
510600,德阳市,510600,1.1692512,1.240758,1.2238128,1.259874,1.4517144,1.4520384,1.5679332,1.4907888,1.185354,1.2988836,1.083132,0.9410904,0.793152,0.80433,0.6390576,0.5958684,0.7104672,0.630504,0.4566132,0.43983,0.428814,0.4219128,0.436428,0.4860972,0.4216536,0.282042,0.2440692,0.2317572,0.2345436,0.2284524,0.2598804,0.315252,0.2886516,0.317196,0.3577932,0.4190616,0.4761504,0.5498604,0.6957576,0.6797844,0.7325316,0.7164612,0.76869,0.8118792,0.8842284
510700,绵阳市,510700,1.2675204,1.3661784,1.4967828,1.5557508,1.8340344,1.8803988,1.9975248,1.80387,1.3633596,1.5374124,1.4282568,1.285632,1.1427804,1.0773972,0.8754156,0.7645752,0.9071676,0.7556328,0.5555628,0.5312628,0.5638248,0.59859,0.611226,0.5806404,0.469314,0.3208572,0.2913732,0.2883276,0.2861892,0.2991816,0.3319704,0.3772332,0.3737988,0.4193208,0.4679208,0.5415984,0.6169284,0.7282872,0.8523144,0.7884216,0.8627796,0.8468712,0.83673,0.925344,0.9449136
510800,广元市,510800,0.557604,0.5487264,0.5481108,0.5683608,0.6780996,0.6879816,0.705024,0.6210108,0.5611356,0.721062,0.8142444,0.8221176,0.7736148,0.7681068,0.6295968,0.5362524,0.6474816,0.5117256,0.3441852,0.3309336,0.3640788,0.3851064,0.4321188,0.3973212,0.2979828,0.219834,0.201366,0.2033748,0.197964,0.2020788,0.215622,0.2372328,0.2397924,0.2740392,0.307314,0.3359232,0.397062,0.4455972,0.486972,0.4504572,0.514188,0.484056,0.4727808,0.532818,0.5017788
510900,遂宁市,510900,0.7629876,0.7727076,0.7621452,0.8342028,0.9844416,0.9615996,0.9813312,0.8877276,0.7481484,1.1726208,1.2985272,1.2224196,1.0530972,1.034856,0.7883244,0.6887592,0.795744,0.626292,0.4560624,0.448416,0.4714848,0.5126004,0.5275692,0.4290732,0.3270132,0.2287764,0.188568,0.1653696,0.15795,0.1572048,0.1693224,0.1832544,0.1950804,0.2127708,0.249966,0.3119148,0.3668652,0.4314708,0.50382,0.5257872,0.5740956,0.5465556,0.607176,0.5937624,0.6235056
511000,内江市,511000,0.7981092,0.8908056,0.8879868,0.9666216,1.1036412,1.1161476,1.166724,1.0543932,0.8979012,1.3592124,1.4401476,1.3203324,1.1697048,1.096902,0.8490744,0.7433208,0.9048348,0.7178544,0.5270508,0.5122764,0.53217,0.5459076,0.5056668,0.4512024,0.3582468,0.2797092,0.263736,0.2708964,0.2737152,0.2943864,0.3039768,0.3372192,0.3590892,0.3906468,0.4234356,0.493614,0.5395248,0.647838,0.7282224,0.7782804,0.8044272,0.7846308,0.8342028,0.7960356,0.8484588
511100,乐山市,511100,0.7453296,0.799308,0.781974,0.8369244,0.9428724,0.9407664,0.9969156,0.9266076,0.70146,0.8422056,0.8324532,0.7071948,0.6212052,0.5995944,0.4793256,0.4320864,0.5165532,0.4432968,0.3228984,0.3002184,0.279288,0.2744604,0.2699892,0.2666844,0.2319516,0.1675728,0.1601532,0.1674432,0.1727892,0.1763208,0.1998108,0.2303316,0.2335068,0.25029,0.2708964,0.3093876,0.338094,0.3754512,0.4331556,0.4338684,0.4553496,0.4509432,0.485514,0.5057316,0.5300316
511300,南充市,511300,1.1500704,1.1687328,1.1695752,1.2439008,1.5043644,1.4997636,1.4981112,1.3051692,1.112616,1.6404768,1.9737756,2.0558124,1.933794,1.9827828,1.6024392,1.3012488,1.5316128,1.2141576,0.8187804,0.8304768,1.0051776,0.9973368,1.005372,0.8641404,0.6450192,0.4421952,0.42282,0.445662,0.4133592,0.4076568,0.4326372,0.4445928,0.454248,0.528444,0.6271668,0.7375536,0.8721108,1.0493388,1.1116764,1.0790496,1.1363328,1.1044188,1.1345184,1.15344,1.1869092
511400,眉山市,511400,1.1143332,1.10403,1.1010492,1.1507508,1.2958704,1.2296772,1.263924,1.1057472,0.827172,1.1451132,1.068876,0.9064548,0.7773408,0.7943508,0.6298236,0.6158592,0.7307172,0.6403536,0.45522,0.4126464,0.394632,0.3606444,0.3351456,0.334044,0.2879712,0.2127384,0.1993896,0.2146176,0.2183436,0.2216484,0.258714,0.2943864,0.292572,0.2979504,0.352188,0.4174092,0.4659444,0.5486616,0.649296,0.6033204,0.63099,0.6052968,0.6721704,0.6790068,0.764478
511500,宜宾市,511500,0.9282276,1.0278252,1.0143144,1.0532916,1.2032064,1.1657844,1.1606004,1.0271772,0.8394516,1.157976,1.2156804,1.1637108,1.0438632,0.9858672,0.791856,0.6413904,0.7540452,0.6053292,0.4559004,0.4381128,0.479196,0.5147064,0.4874904,0.4129056,0.348138,0.271188,0.2670084,0.2694384,0.2723868,0.2765016,0.2937708,0.3167748,0.3367008,0.3887676,0.416502,0.499122,0.5672268,0.6893748,0.7340868,0.8094492,0.9085608,0.9228816,0.9933192,0.878364,0.902016
