city_baidu_id,name,id,20200117_moveIn,20200118_moveIn,20200119_moveIn,20200120_moveIn,20200121_moveIn,20200122_moveIn,20200123_moveIn,20200124_moveIn,20200125_moveIn,20200126_moveIn,20200127_moveIn,20200128_moveIn,20200129_moveIn,20200130_moveIn,20200131_moveIn,20200201_moveIn,20200202_moveIn,20200203_moveIn,20200204_moveIn,20200205_moveIn,20200206_moveIn,20200207_moveIn,20200208_moveIn,20200209_moveIn,20200210_moveIn,20200211_moveIn,20200212_moveIn,20200213_moveIn,20200214_moveIn,20200215_moveIn,20200216_moveIn,20200217_moveIn,20200218_moveIn,20200219_moveIn,20200220_moveIn,20200221_moveIn,20200222_moveIn,20200223_moveIn,20200224_moveIn,20200225_moveIn,20200226_moveIn,20200227_moveIn,20200228_moveIn,20200229_moveIn,20200301_moveIn
370700,潍坊市,370700,1.5773292,1.6204536,1.5217632,1.64106,2.1879396,2.3934852,2.43648,2.0464164,1.0456776,1.19637,0.9283572,0.6899256,0.602478,0.5982984,0.4716468,0.3969972,0.4091796,0.387828,0.3364416,0.2908548,0.2963952,0.300834,0.2838888,0.3745764,0.387018,0.3668328,0.364824,0.398358,0.3869856,0.307152,0.3154464,0.4070736,0.4551552,0.4822092,0.5035932,0.5588676,0.6276852,0.6061068,0.6373404,0.6648804,0.67716,0.6832512,0.70065,0.7866396,0.7506108
370800,济宁市,370800,2.061774,2.2501476,2.3897592,2.6784108,3.2403888,3.0815964,2.9118528,2.312388,1.1513988,1.2608136,0.8510832,0.5964192,0.526338,0.485514,0.399006,0.3379644,0.3472308,0.2369736,0.1875636,0.1844532,0.1883088,0.1956312,0.196182,0.2350296,0.2453976,0.2354184,0.2437452,0.26163,0.256446,0.2266704,0.2506464,0.3037824,0.3200796,0.3390012,0.3616164,0.3988116,0.4012416,0.3559464,0.3641436,0.3592836,0.3917808,0.4197096,0.4337064,0.4928364,0.5142204
370900,泰安市,370900,1.292274,1.4287752,1.464642,1.6772832,2.187648,2.2234176,2.1905964,1.8293688,0.9624096,0.8478756,0.5766228,0.3555252,0.2610792,0.2265408,0.203472,0.160218,0.174798,0.131706,0.1196532,0.113238,0.1094148,0.114372,0.1139508,0.1443096,0.1629072,0.1515996,0.1492992,0.1530252,0.1531872,0.126522,0.1377324,0.1668276,0.1773252,0.1926504,0.2110212,0.2326644,0.2497716,0.2268972,0.2206764,0.2172744,0.2366172,0.2373624,0.2460132,0.2981772,0.3029076
371000,威海市,371000,0.4368816,0.4779,0.4703184,0.492156,0.629208,0.699192,0.784242,0.7134804,0.3720168,0.5212836,0.5965812,0.439992,0.3405564,0.32967,0.2611764,0.1636524,0.1656288,0.1280124,0.0860544,0.0843048,0.0905904,0.1048788,0.1154412,0.1893456,0.2005236,0.1352052,0.1205928,0.1217916,0.1179036,0.0805788,0.072414,0.0927936,0.1177092,0.1400652,0.1526688,0.1590516,0.1746036,0.1868184,0.1834488,0.198774,0.1980936,0.1781028,0.173502,0.202338,0.1886976
371100,日照市,371100,0.6892452,0.7647048,0.7560216,0.8339112,1.0416276,1.1383092,1.1497788,0.8789472,0.4726512,0.5231304,0.3509244,0.2649024,0.2162376,0.2164968,0.1830924,0.161838,0.1952424,0.1677348,0.133974,0.1314468,0.1248372,0.1338444,0.1242216,0.1899936,0.1991628,0.1742472,0.1772604,0.181116,0.1712016,0.1356264,0.1465776,0.1887624,0.210924,0.2152332,0.22275,0.2534652,0.25515,0.2586492,0.2733912,0.282366,0.3109104,0.3174228,0.295326,0.358668,0.3681288
371300,临沂市,371300,2.0229912,2.2726008,2.2956372,2.5015716,3.1821336,3.274992,3.0886272,2.6300052,1.2894876,1.381536,0.913356,0.6336792,0.4993164,0.4786776,0.3927204,0.3377052,0.370008,0.3028752,0.254826,0.2454624,0.2288088,0.243648,0.2446524,0.3172932,0.3302856,0.3051432,0.3037176,0.3271752,0.3228336,0.2695032,0.29241,0.36936,0.4077864,0.4436856,0.4790016,0.551448,0.6108372,0.5881572,0.6044868,0.6331608,0.6768684,0.6842556,0.6947208,0.7916616,0.8295048
371400,德州市,371400,1.6963992,1.8792972,2.000538,2.2663476,2.7988416,2.8874232,3.0948804,2.5416504,1.1969208,1.0879596,0.6774192,0.4884948,0.3980664,0.376974,0.3260088,0.305046,0.3255228,0.2732616,0.2385936,0.2312064,0.2082672,0.2189916,0.2142288,0.2547936,0.271512,0.2410884,0.239112,0.2502576,0.243,0.209466,0.2383668,0.2942892,0.2942244,0.3055968,0.3478464,0.369036,0.4209084,0.401112,0.4572936,0.447768,0.488916,0.5086152,0.5212836,0.589032,0.5871204
371500,聊城市,371500,1.3596012,1.4664888,1.5796944,1.8079524,2.290518,2.21049,2.189916,1.8612828,0.9695052,0.8060472,0.5081616,0.3691008,0.2958768,0.2878416,0.250938,0.2267028,0.2471148,0.2124792,0.1981908,0.1918404,0.1748628,0.1840968,0.1839348,0.20169,0.2070036,0.2003292,0.199098,0.2046708,0.2001024,0.18225,0.2131596,0.2537244,0.2658096,0.2863188,0.3060504,0.3462912,0.3975804,0.3860784,0.392688,0.42768,0.4528548,0.4410288,0.4456944,0.493452,0.5092956
371600,滨州市,371600,0.9877464,1.029672,1.0521576,1.108566,1.373274,1.3664052,1.4342508,1.2879,0.7016544,0.6528924,0.4748868,0.3729888,0.337932,0.3025188,0.2591676,0.2142288,0.2068416,0.1465128,0.1299564,0.1337148,0.1350756,0.1579176,0.1845504,0.2452356,0.2717712,0.2451708,0.2325024,0.2270592,0.2113452,0.1738584,0.1922292,0.2438748,0.264222,0.2813616,0.2890404,0.311202,0.3522528,0.3599316,0.4015008,0.435132,0.485838,0.4830516,0.4572936,0.4799736,0.4700592
371700,菏泽市,371700,2.3064264,2.5948512,2.8896588,3.2302476,4.0597848,3.7243152,3.4837452,3.0654288,1.4135796,1.0424376,0.5755212,0.401922,0.3259764,0.3191076,0.2746224,0.2487672,0.2839212,0.237492,0.213354,0.2017548,0.1848744,0.2042496,0.194238,0.2365848,0.2544696,0.22842,0.2249856,0.228258,0.2193804,0.1864296,0.2025324,0.2516184,0.2820744,0.3020976,0.3208896,0.3663144,0.4055184,0.370656,0.3870828,0.373734,0.4036716,0.3982284,0.4193208,0.4817556,0.5281524
